Timestamp,W/m² Solar Radiation,mm Precipitation, Lightning Activity,km Lightning Distance,° Wind Direction,m/s Wind Speed,m/s Gust Speed,°C Air Temperature,kPa Vapor Pressure,kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level,mm/h Max Precip Rate,°C RH Sensor Temp,kPa VPD,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°C Logger Temperature
6/7/2019 16:00,5,0.000,0,0,66,0.08,0.11,24.1,1.19,100.56,83.7,89.7,0.0,25.1,2,100,7877,100.48,24.8
6/7/2019 16:15,5,0.000,0,0,45,0.11,0.19,23.3,1.29,100.54,82.9,89.5,0.0,24.5,2,100,7933,100.48,24.6
6/7/2019 16:30,5,0.000,0,0,41,0.11,0.18,22.7,1.28,100.55,83.5,89.6,0.0,23.9,1,100,7992,100.49,24.1
6/7/2019 16:45,4,0.000,0,0,41,0.09,0.14,22.8,1.28,100.54,83.3,89.6,0.0,23.4,1,100,8040,100.47,23.9
6/7/2019 17:00,3,0.000,0,0,41,0.11,0.13,22.6,1.28,100.55,83.0,89.5,0.0,23.1,1,100,8082,100.48,24.3
6/7/2019 17:15,3,0.000,0,0,31,0.12,0.16,22.3,1.27,100.56,83.5,89.6,0.0,22.9,1,100,8117,100.48,24.2
6/7/2019 17:30,3,0.000,0,0,17,0.17,0.31,21.7,1.27,100.56,82.2,89.3,0.0,22.7,1,100,8146,100.49,23.7
6/7/2019 17:45,1,0.000,0,0,61,0.13,0.23,22.7,1.30,100.57,29.5,57.5,0.0,22.5,1,100,8135,100.49,23.9
6/7/2019 18:00,1,0.000,0,0,68,0.13,0.17,23.1,1.31,100.58,24.2,58.2,0.0,22.9,2,100,8130,100.51,24.2
6/7/2019 18:15,1,0.000,0,0,67,0.12,0.16,23.4,1.32,100.58,24.0,58.0,0.0,23.4,2,100,8126,100.51,24.2
6/7/2019 18:30,1,0.000,0,0,67,0.11,0.16,23.7,1.32,100.58,23.7,57.7,0.0,23.7,2,100,8126,100.51,24.3
6/7/2019 18:45,1,0.000,0,0,69,0.10,0.13,23.9,1.32,100.60,23.7,57.8,0.0,24.0,2,100,8123,100.53,24.4
6/7/2019 19:00,1,0.000,0,0,71,0.10,0.15,24.1,1.32,100.61,23.9,57.8,0.0,24.1,2,100,8120,100.54,24.5
6/7/2019 19:15,1,0.000,0,0,71,0.10,0.13,24.2,1.32,100.61,23.9,57.8,0.0,24.3,2,100,8118,100.55,24.5
6/7/2019 19:30,1,0.000,0,0,70,0.10,0.14,24.3,1.32,100.62,23.7,57.8,0.0,24.3,2,100,8117,100.56,24.6
6/7/2019 19:45,1,0.000,0,0,69,0.10,0.13,24.3,1.32,100.64,23.8,57.8,0.0,24.4,2,100,8114,100.57,24.6
6/7/2019 20:00,1,0.000,0,0,69,0.10,0.13,24.3,1.32,100.65,23.8,57.8,0.0,24.4,2,100,8113,100.58,24.6
6/7/2019 20:15,1,0.000,0,0,70,0.10,0.13,24.4,1.32,100.68,23.8,57.8,0.0,24.5,2,100,8112,100.60,24.6
6/7/2019 20:30,1,0.000,0,0,68,0.11,0.14,24.4,1.32,100.68,23.9,57.8,0.0,24.5,2,100,8108,100.61,24.6
6/7/2019 20:45,1,0.000,0,0,69,0.10,0.19,24.4,1.32,100.68,23.9,57.9,0.0,24.5,2,100,8108,100.60,24.6
6/7/2019 21:00,1,0.000,0,0,72,0.11,0.51,24.4,1.32,100.69,24.0,57.9,0.0,24.5,2,100,8105,100.61,24.6
6/7/2019 21:15,1,0.000,0,0,65,0.11,0.40,24.4,1.32,100.70,23.9,57.8,0.0,24.5,2,100,8104,100.62,24.6
6/7/2019 21:30,1,0.000,0,0,69,0.11,0.17,24.4,1.32,100.72,23.9,57.8,0.0,24.5,2,100,8102,100.64,24.6
